,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
477,ML,kayes,14.0,-11.0,1647747246,83.43,17,43,5.37
478,KZ,shar,49.5886,81.0453,1647747246,8.33,93,97,5.1
479,CA,taber,49.8167,-112.1518,1647747246,44.6,54,95,10.36
480,UA,petropavlivka,48.4564,36.4367,1647747247,23.9,68,57,9.15
481,RE,saint-joseph,-21.3667,55.6167,1647747247,75.58,90,90,12.15
482,NZ,opotiki,-38.0833,177.2833,1647747247,70.39,63,96,11.03
483,CN,dali,25.7,100.1833,1647747247,72.39,29,50,8.05
484,CR,puntarenas,9.9763,-84.8384,1647747248,79.38,67,89,5.19
485,NG,jos,9.9167,8.9,1647747248,67.5,14,60,0.96
486,AU,port lincoln,-34.7333,135.8667,1647747248,71.6,63,78,9.89
487,PG,samarai,-10.6167,150.6667,1647747248,87.89,66,67,11.65
488,PE,barranca,-10.75,-77.7667,1647747249,70.05,78,100,6.49
489,ID,sampit,-2.5333,112.95,1647747249,91.27,52,95,3.6
490,RU,belyy yar,53.6039,91.3903,1647747250,24.69,63,0,4.47
491,RU,petropavlovsk-kamchatskiy,53.0452,158.6483,1647747250,36.19,81,75,6.71
492,ZM,sesheke,-17.4759,24.2968,1647747251,63.73,97,88,4.61
493,KZ,atbasar,51.8,68.3333,1647747251,-1.5,96,86,3.87
494,CA,smithers,54.7804,-127.1743,1647747251,35.92,60,20,5.75
495,BR,touros,-5.1989,-35.4608,1647747251,77.97,84,99,9.19
496,MX,lazaro cardenas,17.9583,-102.2,1647747252,72.27,71,64,3.36
497,BR,mineiros,-17.5694,-52.5511,1647747252,68.67,88,12,0.47
498,NO,sorland,67.667,12.6934,1647747252,43.72,89,100,35.1
499,US,orange,33.7,-117.7675,1647747253,60.82,82,100,6.91
500,ID,meulaboh,4.1363,96.1285,1647747253,75.2,93,100,3.11
501,TR,anamur,36.0751,32.8369,1647747254,36.93,46,0,10.11
502,FI,rovaniemi,66.5,25.7167,1647747254,36.81,80,0,13.8
503,IN,palasa,18.7667,84.4167,1647747188,87.46,48,20,8.32
504,US,arthur,39.7148,-88.4723,1647747254,44.64,90,4,3.0
505,ES,muros,42.7762,-9.0603,1647747254,53.83,81,100,6.89
506,ID,polewali,-3.4324,119.3435,1647747255,82.29,75,100,1.88
507,JP,uwajima,33.2238,132.56,1647747255,55.29,46,13,10.96
508,ZA,vryburg,-26.9566,24.7284,1647747255,61.02,87,100,5.68
509,RU,deputatskiy,69.3,139.9,1647747256,4.21,85,80,2.3
510,MM,shwebo,22.5667,95.7,1647747257,94.87,22,65,7.9
511,ET,boditi,6.9667,37.8667,1647747257,62.08,66,88,2.24
512,PE,chachapoyas,-6.2317,-77.869,1647747257,52.38,93,100,0.85
513,TZ,micheweni,-4.9667,39.8333,1647747257,78.73,80,28,2.28
514,RU,donskoye,45.4552,41.9741,1647747258,19.53,67,5,11.81
515,KE,wajir,1.7471,40.0573,1647747258,76.33,62,10,12.24
516,LK,hambantota,6.1241,81.1185,1647747258,84.54,84,20,8.05
517,VN,bac lieu,9.285,105.7244,1647746980,87.55,62,94,11.77
518,AU,alyangula,-13.8483,136.4192,1647747061,94.87,59,40,10.36
519,CL,la serena,-29.9078,-71.2542,1647747259,60.31,94,100,3.44
520,NU,alofi,-19.0595,-169.9187,1647747259,85.89,62,91,8.05
521,US,ahuimanu,21.4447,-157.8378,1647747259,82.11,68,75,11.5
522,ZW,zvishavane,-20.3267,30.0665,1647747260,56.93,81,39,4.21
523,PG,namatanai,-3.6667,152.4333,1647747260,85.89,59,35,8.84
524,EC,palora,-1.7,-77.9333,1647747260,65.61,98,100,1.54
525,BR,carinhanha,-14.3047,-43.765,1647747260,75.07,55,87,2.53
526,JP,nishihara,26.1842,127.7558,1647747001,71.65,66,40,6.91
527,GL,nanortalik,60.1432,-45.2371,1647747261,13.69,88,80,9.13
528,SV,conchagua,13.3078,-87.8647,1647747261,79.95,73,97,0.2
529,US,evanston,42.0411,-87.6901,1647747261,40.95,92,40,1.99
530,SB,honiara,-9.4333,159.95,1647747262,86.32,68,62,6.2
531,US,fallon,39.4735,-118.7774,1647747262,45.45,69,100,8.05
532,MU,quatre cocos,-20.2078,57.7625,1647747262,81.09,80,37,1.86
533,ZW,chipinge,-20.1883,32.6236,1647747262,54.48,95,35,2.64
534,RU,kedrovyy,56.1667,91.8167,1647747263,21.87,84,100,13.24
535,US,alpena,45.0617,-83.4327,1647747263,38.1,96,100,6.91
536,TM,baherden,38.4362,57.4316,1647747263,42.66,51,33,11.48
537,FR,tourlaville,49.6383,-1.5664,1647747263,45.82,76,0,11.5
538,RU,turukhansk,65.8167,87.9833,1647747264,27.82,97,100,15.59
539,RU,otradnoye,59.7775,30.8181,1647747264,35.04,87,0,8.86
540,SS,gogrial,8.5332,28.1004,1647747264,82.11,17,92,6.62
541,IN,pennathur,12.25,79.2333,1647747264,88.02,49,100,5.44
542,BO,santa cruz,-17.8,-63.1667,1647747265,67.46,88,75,14.97
543,IE,killarney,52.05,-9.5167,1647747265,48.34,91,100,6.62
544,RU,kirensk,57.7853,108.1119,1647747265,22.91,87,100,12.73
545,BR,cururupu,-1.8283,-44.8683,1647747265,71.73,97,100,1.52
546,NG,kaduna,10.5222,7.4383,1647747266,70.11,13,60,4.12
547,AU,dubbo,-32.25,148.6167,1647747266,82.53,39,0,8.05
548,CV,vila do maio,15.1333,-23.2167,1647747266,68.79,74,10,20.2
549,ML,kita,13.0349,-9.4895,1647747266,81.03,25,37,3.67
550,GH,axim,4.8699,-2.2405,1647747267,78.75,89,97,5.75
551,RU,nogliki,51.8333,143.1667,1647747267,25.25,83,100,20.24
552,BD,teknaf,20.8624,92.3058,1647747267,85.01,42,86,5.35
553,BR,paragominas,-2.9667,-47.4833,1647747267,70.18,99,97,1.68
554,PR,hatillo,18.4863,-66.8254,1647747268,75.78,84,0,4.0
555,MR,atar,20.5169,-13.0499,1647747268,67.68,28,3,7.02
556,BR,chapada dos guimaraes,-15.4606,-55.7497,1647747268,67.66,91,39,1.63
557,RU,tselinnoye,53.0833,85.6667,1647747268,12.11,93,96,8.1
558,NO,vardo,70.3705,31.1107,1647747269,34.56,69,77,30.13
559,KZ,ushtobe,45.2514,77.9838,1647747269,34.72,55,100,2.21
560,US,nome,64.5011,-165.4064,1647747269,12.27,52,0,0.0
561,MZ,inhambane,-23.865,35.3833,1647747270,74.03,60,99,8.57
562,US,brookings,44.3114,-96.7984,1647747270,41.38,60,0,3.44
563,UA,markova,48.6758,24.4138,1647747270,22.69,64,1,3.18
564,AU,victor harbor,-35.5667,138.6167,1647747271,68.0,77,94,9.73
565,US,meadow lake,34.8014,-106.5436,1647747271,57.34,11,98,8.86
566,US,salina,38.8403,-97.6114,1647747271,50.95,52,0,5.75
567,CN,ganzhou,28.8184,115.4327,1647747271,52.9,87,100,6.13
