,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
436,CD,kalemie,-5.9475,29.1947,1647747234,70.72,88,92,3.49
439,PE,chicama,-7.8447,-79.1469,1647747235,63.14,74,100,5.37
447,MU,souillac,-20.5167,57.5167,1647747237,75.58,94,40,3.44
448,ZA,richards bay,-28.783,32.0377,1647747062,65.25,81,79,4.16
474,AR,comodoro rivadavia,-45.8667,-67.5,1647747245,49.86,57,0,6.91
481,RE,saint-joseph,-21.3667,55.6167,1647747247,75.58,90,90,12.15
482,NZ,opotiki,-38.0833,177.2833,1647747247,70.39,63,96,11.03
486,AU,port lincoln,-34.7333,135.8667,1647747248,71.6,63,78,9.89
487,PG,samarai,-10.6167,150.6667,1647747248,87.89,66,67,11.65
488,PE,barranca,-10.75,-77.7667,1647747249,70.05,78,100,6.49
489,ID,sampit,-2.5333,112.95,1647747249,91.27,52,95,3.6
492,ZM,sesheke,-17.4759,24.2968,1647747251,63.73,97,88,4.61
495,BR,touros,-5.1989,-35.4608,1647747251,77.97,84,99,9.19
497,BR,mineiros,-17.5694,-52.5511,1647747252,68.67,88,12,0.47
506,ID,polewali,-3.4324,119.3435,1647747255,82.29,75,100,1.88
508,ZA,vryburg,-26.9566,24.7284,1647747255,61.02,87,100,5.68
512,PE,chachapoyas,-6.2317,-77.869,1647747257,52.38,93,100,0.85
513,TZ,micheweni,-4.9667,39.8333,1647747257,78.73,80,28,2.28
518,AU,alyangula,-13.8483,136.4192,1647747061,94.87,59,40,10.36
519,CL,la serena,-29.9078,-71.2542,1647747259,60.31,94,100,3.44
520,NU,alofi,-19.0595,-169.9187,1647747259,85.89,62,91,8.05
522,ZW,zvishavane,-20.3267,30.0665,1647747260,56.93,81,39,4.21
523,PG,namatanai,-3.6667,152.4333,1647747260,85.89,59,35,8.84
524,EC,palora,-1.7,-77.9333,1647747260,65.61,98,100,1.54
525,BR,carinhanha,-14.3047,-43.765,1647747260,75.07,55,87,2.53
530,SB,honiara,-9.4333,159.95,1647747262,86.32,68,62,6.2
532,MU,quatre cocos,-20.2078,57.7625,1647747262,81.09,80,37,1.86
533,ZW,chipinge,-20.1883,32.6236,1647747262,54.48,95,35,2.64
542,BO,santa cruz,-17.8,-63.1667,1647747265,67.46,88,75,14.97
545,BR,cururupu,-1.8283,-44.8683,1647747265,71.73,97,100,1.52
547,AU,dubbo,-32.25,148.6167,1647747266,82.53,39,0,8.05
553,BR,paragominas,-2.9667,-47.4833,1647747267,70.18,99,97,1.68
556,BR,chapada dos guimaraes,-15.4606,-55.7497,1647747268,67.66,91,39,1.63
561,MZ,inhambane,-23.865,35.3833,1647747270,74.03,60,99,8.57
564,AU,victor harbor,-35.5667,138.6167,1647747271,68.0,77,94,9.73
