,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
60,PK,khanpur,28.6453,70.6567,1647747130,88.14,23,0,10.83
61,AI,the valley,18.217,-63.0578,1647747130,77.14,73,75,13.8
66,US,kapaa,22.0752,-159.319,1647747131,80.58,75,20,10.36
67,RU,beringovskiy,63.05,179.3167,1647747131,13.1,72,12,2.01
69,IS,olafsvik,64.8945,-23.7142,1647747132,33.28,97,100,9.75
74,RU,yerbogachen,61.2767,108.0108,1647747133,20.88,90,100,13.38
75,RU,khatanga,71.9667,102.5,1647747134,11.14,95,99,7.78
76,EG,abnub,27.2696,31.1511,1647747134,50.22,61,95,9.98
77,RU,togur,58.3631,82.8265,1647747134,20.07,89,100,15.05
78,IN,mudigere,13.1333,75.6333,1647747134,73.31,73,97,5.28
79,MX,matamoros,25.5333,-103.25,1647747134,71.71,20,0,4.61
80,US,half moon bay,37.4636,-122.4286,1647747135,54.34,88,100,17.27
81,BJ,porto novo,6.4965,2.6036,1647747135,84.02,80,77,8.21
82,MX,tecoanapa,16.5167,-98.75,1647747135,77.32,69,32,3.27
83,ET,adet,11.2644,37.4888,1647747135,59.63,64,30,3.85
85,MA,kenitra,34.261,-6.5802,1647747136,56.16,73,100,2.82
88,NE,tanout,14.9709,8.8879,1647747137,72.64,4,89,7.47
90,RU,chokurdakh,70.6333,147.9167,1647747137,0.19,90,100,6.31
91,CA,yellowknife,62.456,-114.3525,1647747137,18.12,100,100,9.22
92,CA,hanna,51.6334,-111.9018,1647747138,35.85,79,80,5.99
93,PH,panacan,9.2463,118.4082,1647747138,86.43,66,100,6.11
94,IT,sabaudia,41.3003,13.0282,1647747138,48.88,51,97,6.91
97,IN,port blair,11.6667,92.75,1647747139,80.64,83,75,4.61
98,MY,georgetown,5.4112,100.3354,1647746875,89.53,73,20,6.91
100,CA,tuktoyaktuk,69.4541,-133.0374,1647747140,-16.6,76,75,6.91
102,US,kodiak,57.79,-152.4072,1647746958,36.91,81,100,10.36
103,CA,torbay,47.6666,-52.7314,1647747141,25.57,74,0,5.75
105,PT,ribeira grande,38.5167,-28.7,1647747141,58.03,70,97,23.38
106,MX,ojinaga,29.5667,-104.4167,1647747142,70.41,19,0,5.75
108,KI,butaritari,3.0707,172.7902,1647747142,80.64,82,32,17.25
110,GL,paamiut,61.994,-49.6678,1647747142,-0.02,93,87,7.07
111,US,makakilo city,21.3469,-158.0858,1647747143,80.92,58,0,14.97
114,ET,gidole,5.65,37.3667,1647747144,61.29,56,58,3.87
115,TR,fethiye,36.6217,29.1164,1647747144,37.27,39,3,9.78
116,RU,cherskiy,68.75,161.3,1647747145,16.09,83,13,9.64
117,NO,oslo,59.9127,10.7461,1647747034,31.32,1,8,1.57
118,PH,marawi,7.9986,124.2928,1647747145,80.56,68,99,5.61
120,TR,kozan,37.4552,35.8157,1647747146,30.04,46,0,7.63
124,IN,narasannapeta,18.4167,84.05,1647747147,85.55,54,25,7.05
128,US,bethel,41.3712,-73.414,1647747148,57.88,92,100,4.61
129,US,mount pleasant,32.7941,-79.8626,1647747149,70.05,88,75,17.27
130,US,laredo,27.5064,-99.5075,1647747149,68.29,30,0,17.27
131,TR,viransehir,37.2353,39.7631,1647747149,29.73,69,2,4.72
133,US,walla walla,46.0646,-118.343,1647747150,47.46,59,100,21.85
134,RU,leningradskiy,69.3833,178.4167,1647747150,-3.26,83,28,1.63
135,RU,zyryanka,65.75,150.85,1647747150,12.56,71,11,4.0
137,RU,oktyabrskoye,43.0645,44.7417,1647747151,23.14,93,100,8.95
140,GL,tasiilaq,65.6145,-37.6368,1647747152,15.96,70,13,8.03
141,CN,tongliao,43.6125,122.2653,1647747152,39.51,24,51,6.82
142,US,palmer,42.1584,-72.3287,1647747152,54.25,87,100,4.61
143,MA,casablanca,33.5928,-7.6192,1647747152,62.33,72,100,1.99
146,SJ,longyearbyen,78.2186,15.6401,1647747153,19.24,68,20,19.57
148,GL,nuuk,64.1835,-51.7216,1647747154,5.61,66,100,8.05
149,RU,saskylakh,71.9167,114.0833,1647747154,8.78,93,100,2.33
150,US,kahului,20.8947,-156.47,1647747154,82.42,54,20,6.91
151,VN,dong hoi,17.4833,106.6,1647747155,87.6,57,20,5.66
152,RU,churapcha,62.0025,132.4325,1647747155,13.66,77,100,3.58
154,CA,moose factory,51.2585,-80.6094,1647747155,24.8,80,100,3.44
155,JP,wajima,37.4,136.9,1647746909,41.68,70,75,4.61
156,ID,sibolga,1.7427,98.7792,1647747156,85.1,65,100,2.71
157,NO,mehamn,71.0357,27.8492,1647747157,34.38,68,100,29.77
158,RU,taseyevo,57.2169,94.8978,1647747157,24.49,83,100,12.75
161,RU,kamenka,51.3223,42.7678,1647747158,14.77,96,17,6.44
162,NG,wukari,7.85,9.7833,1647747158,73.87,29,64,5.01
163,US,jamestown,42.097,-79.2353,1647747159,46.02,65,100,16.11
164,US,russell,32.3502,-85.1999,1647747159,58.6,79,20,3.44
165,US,virginia beach,36.8529,-75.978,1647747159,71.64,72,34,15.48
166,RU,krutikha,53.9599,81.2093,1647747159,11.39,89,91,10.02
168,LR,robertsport,6.7533,-11.3686,1647747160,78.22,86,100,2.89
169,RU,dudinka,69.4058,86.1778,1647747160,18.63,94,100,14.65
170,PH,balabac,7.9868,117.0645,1647747161,85.87,66,100,7.58
171,ML,taoudenni,22.6783,-3.9836,1647747161,70.41,21,1,12.73
172,OM,salalah,17.0151,54.0924,1647747161,77.72,18,1,10.36
173,US,mayo,38.8876,-76.5119,1647747162,67.08,76,40,6.91
174,YE,marzuq,14.4,46.4667,1647747162,68.14,48,6,2.53
175,US,saint george,37.1041,-113.5841,1647747162,66.63,14,0,12.66
177,CU,bahia honda,22.9036,-83.1592,1647747163,75.38,80,1,5.97
179,IE,sligo,54.2697,-8.4694,1647747163,45.81,82,54,15.43
181,US,sitka,57.0531,-135.33,1647746941,39.09,70,75,8.05
182,RU,kyshtovka,56.555,76.6271,1647747164,12.83,88,58,14.83
183,RU,dikson,73.5069,80.5464,1647747164,6.37,97,100,2.39
185,IN,kavaratti,10.5669,72.642,1647747165,82.99,66,83,11.5
188,US,portland,45.5234,-122.6762,1647747165,46.98,63,20,9.22
189,VE,san cristobal,7.7669,-72.225,1647747166,71.78,83,69,2.08
190,RU,nikolskoye,59.7035,30.7861,1647747166,33.87,86,0,8.7
191,MN,hovd,48.0056,91.6419,1647747166,22.95,48,97,3.0
193,EG,tahta,26.7693,31.5021,1647747167,55.69,53,95,8.7
194,GB,northam,51.0333,-4.2167,1647747167,44.26,59,10,14.61
195,CN,qiongshan,20.0058,110.3542,1647747167,82.38,78,75,8.95
197,NO,roald,62.5833,6.1333,1647747168,41.09,93,90,1.14
201,RU,syamzha,60.0158,41.0614,1647747170,27.43,91,23,8.66
202,RO,mihaileni,47.9667,26.15,1647747170,32.88,66,2,4.61
206,ML,kidal,18.4411,1.4078,1647747171,77.09,15,0,9.42
207,MA,asfi,32.2994,-9.2372,1647747171,59.4,86,33,8.34
208,GL,narsaq,60.9167,-46.05,1647747171,14.22,79,30,5.57
209,RU,yar-sale,66.8333,70.8333,1647747172,17.64,90,41,12.55
211,NG,bara,10.3744,10.7288,1647747172,72.5,12,88,6.87
213,US,jasper,37.2001,-94.3502,1647747173,53.04,53,0,6.91
215,NG,illela,13.7292,5.2975,1647747173,77.14,11,12,8.81
217,MY,lumut,4.2323,100.6298,1647747174,89.62,70,20,8.05
218,RU,aktash,50.3,87.7333,1647747174,6.55,84,64,3.09
220,IN,tura,25.5198,90.2201,1647747174,87.17,25,3,6.49
223,CA,clyde river,70.4692,-68.5914,1647747125,-28.97,68,0,4.61
225,PK,barkhan,29.8977,69.5256,1647747176,76.23,23,0,5.32
226,MQ,le vauclin,14.5452,-60.8388,1647747176,77.05,73,20,12.66
228,ES,coria,39.9879,-6.5377,1647747177,54.45,74,94,12.17
229,IN,mahroni,24.5862,78.7288,1647747073,93.47,13,0,8.32
230,CA,saint-augustin,51.226,-58.6502,1647747177,7.83,94,95,4.68
232,CA,chapais,49.7834,-74.8492,1647747178,29.98,90,100,9.86
233,US,westport,41.1415,-73.3579,1647747178,59.14,96,12,3.0
234,US,lompoc,34.6391,-120.4579,1647747178,57.02,90,75,14.0
235,PA,horconcitos,8.4682,-81.8007,1647747179,65.71,89,73,6.64
236,MT,marsaxlokk,35.8419,14.5431,1647747179,52.09,81,75,25.32
237,IS,husavik,66.0449,-17.3389,1647747180,45.52,70,100,32.37
238,CN,chenzhou,25.8,113.0333,1647747170,79.21,63,61,1.77
241,LV,ventspils,57.3894,21.5606,1647747181,24.73,93,7,0.0
243,ET,asosa,10.0667,34.5333,1647747181,68.31,42,49,3.85
246,MV,dhidhdhoo,6.8833,73.1,1647747182,83.3,69,2,14.7
247,RU,pevek,69.7008,170.3133,1647747182,0.5,76,24,13.49
248,TR,kumluca,36.3703,30.2869,1647747183,38.35,37,0,10.76
249,RU,nikolayevka,53.1257,47.2041,1647747183,24.22,98,99,5.91
250,EG,marsa matruh,31.3525,27.2453,1647747183,51.15,60,91,16.89
251,RU,severo-kurilsk,50.6789,156.125,1647747183,32.27,98,100,33.26
252,CA,campbellton,48.0075,-66.6727,1647747184,27.05,95,100,14.2
253,US,san ramon,37.7799,-121.978,1647747184,53.33,86,100,8.05
254,RO,oltina,44.1667,27.6667,1647747184,26.96,60,0,7.43
255,TD,moussoro,13.6408,16.4901,1647747185,71.4,5,13,10.11
256,CN,wuwei,37.9281,102.6414,1647747185,44.51,28,100,5.39
258,SL,bonthe,7.5264,-12.505,1647747185,74.86,88,83,3.24
259,US,mountain home,43.133,-115.6912,1647747186,47.68,100,100,11.5
261,VN,cam ranh,11.9214,109.1591,1647747186,84.16,70,40,5.75
262,CA,iqaluit,63.7506,-68.5145,1647747186,-20.31,75,0,2.3
264,CN,shache,38.4167,77.2406,1647747187,56.71,32,93,7.54
265,JP,kushikino,31.7167,130.2667,1647747148,58.46,61,89,9.42
266,TM,sayat,38.7839,63.8803,1647747187,33.67,50,1,9.53
267,BY,svetlogorsk,52.6333,29.7333,1647747188,28.13,90,26,5.84
268,MX,guerrero negro,27.9769,-114.0611,1647747188,59.97,84,0,15.01
269,CN,erenhot,43.6475,111.9767,1647747188,30.72,46,44,17.36
270,JP,itoman,26.1247,127.6694,1647747070,72.37,65,20,6.91
271,RS,kovacica,45.1117,20.6214,1647747188,34.9,51,13,12.62
272,FR,nemours,48.2751,2.6908,1647747189,40.39,71,4,7.4
273,PR,cabo rojo,18.0866,-67.1457,1647747189,76.68,81,0,8.79
275,IR,kalaleh,37.3807,55.4916,1647747189,44.2,93,100,4.61
277,AF,rudbar,30.15,62.6,1647747190,53.38,35,0,6.17
279,MX,alvarado,18.7667,-95.7667,1647747190,71.92,79,2,22.1
281,RU,pangody,65.85,74.4859,1647747191,17.87,94,26,11.25
282,MA,tiznit,29.5833,-9.5,1647747191,53.15,91,59,2.73
283,CA,sioux lookout,50.1001,-91.917,1647747191,32.07,86,75,0.0
284,US,college,64.8569,-147.8028,1647747192,19.99,62,75,5.75
285,JP,hirara,24.8,125.2833,1647747123,75.06,68,20,13.8
286,BJ,kandi,11.1342,2.9386,1647747192,79.38,19,6,5.39
288,PH,palauig,15.435,119.9045,1647747193,86.25,69,73,8.12
292,NG,sabla,12.7525,4.7077,1647747194,77.74,13,7,9.6
293,IS,hofn,64.2539,-15.2082,1647747194,45.73,92,100,30.74
294,RU,manturovo,58.3353,44.7619,1647747194,28.08,87,98,9.84
296,GF,mana,5.6592,-53.7767,1647747195,75.92,90,100,11.01
297,IN,diu,20.7141,70.9822,1647747172,84.22,38,4,5.14
298,CA,slave lake,55.2834,-114.769,1647747196,40.98,48,0,4.61
299,RU,tilichiki,60.4667,166.1,1647747196,25.86,91,100,5.17
300,SE,norrtalje,59.758,18.705,1647747196,34.02,76,37,5.44
301,CN,pulandian,39.3953,121.9669,1647747196,42.62,29,24,7.11
302,RU,chunskiy,56.0815,99.6342,1647747197,23.49,83,100,12.77
303,ML,tessalit,20.1986,1.0114,1647747197,69.96,15,0,11.21
305,RU,yablonovo,50.8523,37.3574,1647747198,4.19,100,100,5.14
306,CA,thompson,55.7435,-97.8558,1647747198,23.16,63,75,4.61
308,RU,shitkino,56.3703,98.3543,1647747199,22.95,87,100,13.0
311,MV,manadhoo,5.7667,73.3833,1647747200,83.64,69,8,14.23
313,RU,balagansk,54.0103,103.0544,1647747200,22.5,79,100,12.17
314,ES,tortosa,40.8125,0.5216,1647747200,52.25,84,98,1.16
315,UZ,komsomolskiy,40.4272,71.7189,1647747200,38.12,81,100,2.3
316,RU,tyumentsevo,53.3224,81.498,1647747201,11.25,94,99,10.2
317,KZ,beyneu,45.3167,55.2,1647747201,25.79,48,1,9.89
318,CM,kousseri,12.0769,15.0306,1647747201,69.76,26,0,4.61
319,KE,maralal,1.0968,36.698,1647747201,60.04,66,57,5.73
320,MV,thinadhoo,0.5333,72.9333,1647747202,83.1,75,31,17.22
323,CN,yongan,39.6957,113.6871,1647747203,39.07,49,52,10.07
324,RU,uyemskiy,64.4743,40.8524,1647747203,35.65,80,20,11.18
325,RU,bilibino,68.0546,166.4372,1647747203,8.28,81,41,2.44
326,US,gillette,44.2911,-105.5022,1647747203,47.1,38,0,10.36
327,US,harrison,30.4091,-89.0436,1647747204,59.07,44,0,9.22
328,MX,jacala,21.0167,-99.1833,1647747204,51.62,80,97,3.38
330,CA,whitehorse,60.7161,-135.0538,1647747205,30.97,51,20,9.22
331,RU,demyansk,57.643,32.466,1647747206,27.95,98,62,5.88
333,GN,conakry,9.538,-13.6773,1647747206,76.32,74,46,5.88
336,LA,phonhong,18.5007,102.4166,1647747207,91.36,42,46,1.05
339,DO,nagua,19.3832,-69.8474,1647747208,73.35,88,1,6.44
340,CA,havre-saint-pierre,50.2334,-63.5986,1647747208,24.8,79,75,16.11
342,GH,berekum,7.4534,-2.584,1647747208,71.8,85,87,4.34
344,MX,puerto penasco,31.3167,-113.5333,1647747210,64.9,79,47,5.01
345,GB,margate,51.3813,1.3862,1647747210,45.7,67,0,5.01
348,PT,lagoa,39.05,-27.9833,1647747211,57.02,66,98,23.0
350,US,broome,42.2506,-75.833,1647747211,52.86,74,20,10.36
351,PT,porto santo,33.072,-16.3415,1647747212,57.58,72,20,18.41
353,MM,lashio,22.9333,97.75,1647747212,90.16,20,96,3.0
354,BR,boa vista,2.8197,-60.6733,1647747212,80.58,69,40,11.5
355,NO,sistranda,63.7256,8.834,1647747213,40.96,76,100,4.43
356,RU,novobirilyussy,56.9514,90.6661,1647747213,21.16,87,100,13.67
357,RU,sinegorye,62.0788,150.477,1647747213,15.85,83,100,2.53
358,MN,mandalgovi,45.7625,106.2708,1647747214,18.14,29,6,4.45
359,RU,mezen,65.8522,44.24,1647747214,30.87,81,78,14.47
361,US,sartell,45.6216,-94.2069,1647747214,38.97,81,0,4.61
363,MX,cabo san lucas,22.8909,-109.9124,1647747215,75.51,48,0,8.05
364,RU,talnakh,69.4865,88.3972,1647747215,18.21,94,100,10.56
365,PH,catuday,16.2923,119.8062,1647747216,83.64,69,60,4.23
366,MR,adrar,20.5022,-10.0711,1647747216,66.45,24,38,8.46
367,LV,pavilosta,56.8879,21.1859,1647747216,24.71,82,1,3.91
368,IN,hukeri,16.2333,74.6,1647747216,80.49,46,97,7.78
369,CV,sao filipe,14.8961,-24.4956,1647747216,69.51,68,6,13.94
370,SE,kiruna,67.8557,20.2251,1647747217,43.72,49,100,32.21
371,IN,dwarka,22.2394,68.9678,1647747131,79.36,69,3,11.99
372,GL,sisimiut,66.9395,-53.6735,1647747217,-12.32,93,95,6.31
373,CN,yuci,37.6803,112.7319,1647747217,44.35,53,93,6.71
374,MX,lampazos de naranjo,27.0167,-100.5167,1647747218,64.69,43,0,12.88
375,CN,yatou,37.15,122.3833,1647747218,41.76,37,100,12.19
376,ES,olot,42.181,2.4901,1647747218,49.75,90,69,2.89
377,CD,bongandanga,1.5,21.05,1647747218,72.14,83,100,2.13
380,CA,norman wells,65.282,-126.8329,1647747219,-0.36,78,100,10.36
381,MX,coahuayana,18.7333,-103.6833,1647747219,67.08,58,2,3.98
382,PL,myszkow,50.5752,19.3246,1647747220,35.55,100,0,10.74
383,RU,murashi,59.3999,48.9615,1647747220,28.09,91,100,10.4
384,US,morehead,37.2711,-87.1764,1647747220,39.99,95,0,0.0
385,IN,baghmara,23.795,86.2085,1647747220,92.73,17,6,4.92
387,RU,novaya ladoga,60.1025,32.3019,1647747221,29.71,89,0,10.2
388,CA,cap-aux-meules,47.3821,-61.8597,1647747221,28.42,74,100,12.66
389,US,fairbanks,64.8378,-147.7164,1647747221,20.01,63,75,5.75
390,NP,kathmandu,27.7167,85.3167,1647747221,71.82,49,20,2.3
391,PT,lata,40.1629,-8.3327,1647747222,59.07,61,100,9.19
392,ET,bure,10.7,37.0667,1647747222,60.1,56,30,3.65
393,RU,inta,66.0317,60.1659,1647747222,29.98,97,100,20.96
394,RU,kutulik,53.3508,102.7839,1647747223,22.91,83,100,12.41
395,KZ,shieli,44.1667,66.75,1647747223,33.01,47,2,5.28
396,GB,bridlington,54.0831,-0.1919,1647747223,45.01,88,0,13.0
397,RU,bakchar,57.0186,82.0711,1647747223,18.39,91,100,12.68
398,IR,bafq,31.6128,55.4107,1647747224,59.07,18,1,2.26
400,IN,yarada,17.65,83.2667,1647747224,82.72,74,20,6.91
402,GH,kintampo,8.0563,-1.7306,1647747225,76.86,72,75,5.19
403,JP,tanabe,33.7333,135.3667,1647747147,56.41,44,75,16.11
404,US,spencer,43.1414,-95.1444,1647747225,44.74,69,0,3.44
408,JM,morant bay,17.8815,-76.4093,1647747226,78.42,81,89,10.38
409,RU,ostrovnoy,68.0531,39.5131,1647747226,31.96,83,77,32.39
410,RU,agirish,61.9247,63.0231,1647747227,26.47,87,83,11.77
411,US,kailua,21.4022,-157.7394,1647747227,82.38,75,1,4.0
412,SA,buraydah,26.326,43.975,1647747227,59.45,22,0,9.98
413,CN,jimo,36.3897,120.4622,1647747228,38.98,48,0,6.71
414,RU,evensk,61.95,159.2333,1647747228,20.23,83,52,6.58
415,US,marquette,46.5333,-87.6335,1647747228,32.68,91,56,7.18
417,ES,los llanos de aridane,28.6585,-17.9182,1647747229,58.75,77,20,8.99
419,MX,pochutla,15.7432,-96.4661,1647747229,77.83,66,7,3.65
420,GE,khani,41.9563,42.9566,1647747229,26.17,98,100,1.9
421,RU,lavrentiya,65.5833,-171.0,1647747230,-1.57,78,0,1.95
424,CN,simao,22.7886,100.9748,1647747231,83.59,19,34,8.9
425,US,altamont,42.2068,-121.7372,1647747231,36.77,75,0,19.57
429,NI,corn island,12.1694,-83.0418,1647747232,80.89,76,77,20.29
430,IE,clonakilty,51.6231,-8.8706,1647747232,48.09,96,65,10.98
431,US,rumford,44.5537,-70.5509,1647747233,40.03,92,100,1.66
433,MN,baruun-urt,46.6806,113.2792,1647747233,22.06,39,17,8.75
434,US,houma,29.5958,-90.7195,1647747233,57.99,59,0,6.91
435,ID,gorontalo,0.5412,123.0595,1647747234,84.25,81,100,1.99
437,RU,tuma,55.148,40.5537,1647747234,25.88,97,11,5.55
438,SA,sakakah,29.9697,40.2064,1647747235,54.97,47,100,5.19
440,RU,veshkayma,54.05,47.1333,1647747235,22.71,99,100,7.02
441,PL,pionki,51.476,21.4499,1647747235,31.21,55,0,5.86
442,RU,sobolevo,54.4299,31.8996,1647747236,19.8,96,1,5.01
443,PH,aloleng,16.1307,119.7824,1647747236,85.57,68,44,8.34
444,CA,la ronge,55.1001,-105.2842,1647747237,28.62,80,0,3.44
445,BB,oistins,13.0667,-59.5333,1647747237,77.09,78,20,19.57
446,CN,yining,29.0361,114.5636,1647747237,57.07,88,97,3.6
449,ML,araouane,18.9048,-3.5265,1647747238,72.36,16,1,9.51
450,MY,sibu,2.3,111.8167,1647747238,84.51,79,20,8.05
451,MV,funadhoo,6.15,73.2667,1647747233,83.64,71,3,13.98
452,JP,kanaya,34.8167,138.1333,1647747012,60.28,27,20,11.5
453,RU,verkhnyaya inta,65.9811,60.3094,1647747239,29.26,96,100,21.99
454,RU,ust-kuyga,70.0167,135.6,1647747239,-3.95,87,30,8.23
455,RU,okha,53.5739,142.9478,1647747239,20.55,88,100,19.1
456,MX,mapimi,25.8167,-103.85,1647747239,60.37,29,0,7.49
457,RU,nizhniy chir,48.3597,43.0865,1647747240,19.56,89,35,7.76
458,UA,zatoka,46.0725,30.4654,1647747240,31.14,61,20,18.3
459,FR,saint-francois,46.4154,3.9054,1647747240,42.24,93,97,4.61
460,RU,polunochnoye,60.8697,60.4153,1647747241,28.29,79,98,11.65
461,PH,dingle,10.9995,122.6711,1647747136,90.16,56,98,13.13
462,GB,salisbury,51.0693,-1.7957,1647747241,44.47,65,0,12.66
463,CN,yumen,40.2833,97.2,1647747242,39.51,31,100,20.96
464,CN,hengshui,37.7322,115.7011,1647747242,46.83,30,97,7.87
465,LK,weligama,5.9667,80.4167,1647747242,82.94,75,37,13.82
466,IR,khoy,38.5504,44.9535,1647747243,29.64,96,100,5.99
467,SE,ornskoldsvik,63.2909,18.7153,1647747243,41.95,70,16,14.97
468,RS,zvecka,44.6389,20.1647,1647747243,34.92,44,3,11.01
469,RU,zhigansk,66.7697,123.3711,1647747243,7.48,90,100,27.96
470,GL,ilulissat,69.2167,-51.1,1647747244,-0.38,71,75,3.44
471,IN,leh,34.1667,77.5833,1647747244,26.38,75,29,4.18
472,MX,ixtapa,20.7,-105.2,1647747244,70.23,83,20,2.3
473,RU,provideniya,64.3833,-173.3,1647747245,7.93,79,0,2.26
475,MN,ulaanbaatar,47.9077,106.8832,1647747172,17.73,41,0,6.71
476,ES,cervo,43.6702,-7.4101,1647747245,52.48,74,59,3.78
477,ML,kayes,14.0,-11.0,1647747246,83.43,17,43,5.37
478,KZ,shar,49.5886,81.0453,1647747246,8.33,93,97,5.1
479,CA,taber,49.8167,-112.1518,1647747246,44.6,54,95,10.36
480,UA,petropavlivka,48.4564,36.4367,1647747247,23.9,68,57,9.15
483,CN,dali,25.7,100.1833,1647747247,72.39,29,50,8.05
484,CR,puntarenas,9.9763,-84.8384,1647747248,79.38,67,89,5.19
485,NG,jos,9.9167,8.9,1647747248,67.5,14,60,0.96
490,RU,belyy yar,53.6039,91.3903,1647747250,24.69,63,0,4.47
491,RU,petropavlovsk-kamchatskiy,53.0452,158.6483,1647747250,36.19,81,75,6.71
493,KZ,atbasar,51.8,68.3333,1647747251,-1.5,96,86,3.87
494,CA,smithers,54.7804,-127.1743,1647747251,35.92,60,20,5.75
496,MX,lazaro cardenas,17.9583,-102.2,1647747252,72.27,71,64,3.36
498,NO,sorland,67.667,12.6934,1647747252,43.72,89,100,35.1
499,US,orange,33.7,-117.7675,1647747253,60.82,82,100,6.91
500,ID,meulaboh,4.1363,96.1285,1647747253,75.2,93,100,3.11
501,TR,anamur,36.0751,32.8369,1647747254,36.93,46,0,10.11
502,FI,rovaniemi,66.5,25.7167,1647747254,36.81,80,0,13.8
503,IN,palasa,18.7667,84.4167,1647747188,87.46,48,20,8.32
504,US,arthur,39.7148,-88.4723,1647747254,44.64,90,4,3.0
505,ES,muros,42.7762,-9.0603,1647747254,53.83,81,100,6.89
507,JP,uwajima,33.2238,132.56,1647747255,55.29,46,13,10.96
509,RU,deputatskiy,69.3,139.9,1647747256,4.21,85,80,2.3
510,MM,shwebo,22.5667,95.7,1647747257,94.87,22,65,7.9
511,ET,boditi,6.9667,37.8667,1647747257,62.08,66,88,2.24
514,RU,donskoye,45.4552,41.9741,1647747258,19.53,67,5,11.81
515,KE,wajir,1.7471,40.0573,1647747258,76.33,62,10,12.24
516,LK,hambantota,6.1241,81.1185,1647747258,84.54,84,20,8.05
517,VN,bac lieu,9.285,105.7244,1647746980,87.55,62,94,11.77
521,US,ahuimanu,21.4447,-157.8378,1647747259,82.11,68,75,11.5
526,JP,nishihara,26.1842,127.7558,1647747001,71.65,66,40,6.91
527,GL,nanortalik,60.1432,-45.2371,1647747261,13.69,88,80,9.13
528,SV,conchagua,13.3078,-87.8647,1647747261,79.95,73,97,0.2
529,US,evanston,42.0411,-87.6901,1647747261,40.95,92,40,1.99
531,US,fallon,39.4735,-118.7774,1647747262,45.45,69,100,8.05
534,RU,kedrovyy,56.1667,91.8167,1647747263,21.87,84,100,13.24
535,US,alpena,45.0617,-83.4327,1647747263,38.1,96,100,6.91
536,TM,baherden,38.4362,57.4316,1647747263,42.66,51,33,11.48
537,FR,tourlaville,49.6383,-1.5664,1647747263,45.82,76,0,11.5
538,RU,turukhansk,65.8167,87.9833,1647747264,27.82,97,100,15.59
539,RU,otradnoye,59.7775,30.8181,1647747264,35.04,87,0,8.86
540,SS,gogrial,8.5332,28.1004,1647747264,82.11,17,92,6.62
